station_destination,SIM_est_3beta_sum,flow_sum,change_ratio
Tottenham Court Road,19124.0,19126,-2.0
Hoxton,2179.0,2181,-2.0
Canons Park,524.0,526,-2.0
Clapton,425.0,427,-2.0
Heathrow Terminal 4,691.0,693,-2.0
Westferry,1248.0,1250,-2.0
Colliers Wood,863.0,865,-2.0
Crossharbour,1206.0,1208,-2.0
Temple,6778.0,6780,-2.0
Hatton Cross,1217.0,1219,-2.0
Southbury,536.0,538,-2.0
Charing Cross,7014.0,7016,-2.0
Heathrow Terminal 5,973.0,975,-2.0
Perivale,530.0,532,-2.0
Roding Valley,83.0,84,-1.0
Silver Street,952.0,953,-1.0
Stanmore,982.0,983,-1.0
South Quay,4590.0,4591,-1.0
North Harrow,189.0,190,-1.0
Queensbury,438.0,439,-1.0
Seven Kings,558.0,559,-1.0
Northolt,662.0,663,-1.0
Pudding Mill Lane,430.0,431,-1.0
Pinner,291.0,292,-1.0
Redbridge,197.0,198,-1.0
South Harrow,386.0,387,-1.0
Northwood Hills,487.0,488,-1.0
Poplar,1300.0,1301,-1.0
South Ruislip,288.0,289,-1.0
Penge West,149.0,150,-1.0
Woolwich Arsenal,4427.0,4428,-1.0
Mornington Crescent,2926.0,2927,-1.0
Finchley Road & Frognal,1528.0,1529,-1.0
New Cross,1026.0,1027,-1.0
Euston Square,8092.0,8093,-1.0
Epping,497.0,498,-1.0
Enfield Town,748.0,749,-1.0
Elm Park,268.0,269,-1.0
Watford,960.0,961,-1.0
West Finchley,90.0,91,-1.0
Crouch Hill,403.0,404,-1.0
Cockfosters,261.0,262,-1.0
Chingford,236.0,237,-1.0
Fulham Broadway,4199.0,4200,-1.0
Chadwell Heath,560.0,561,-1.0
Bushey,455.0,456,-1.0
Bush Hill Park,175.0,176,-1.0
Burnt Oak,648.0,649,-1.0
Bruce Grove,349.0,350,-1.0
Brondesbury Park,894.0,895,-1.0
Bond Street,20966.0,20967,-1.0
Beckton Park,87.0,88,-1.0
Anerley,172.0,173,-1.0
Woodford,705.0,706,-1.0
Alperton,740.0,741,-1.0
Woodgrange Park,241.0,242,-1.0
Canonbury,845.0,846,-1.0
Uxbridge,4315.0,4316,-1.0
Farringdon,25591.0,25592,-1.0
Greenford,1156.0,1157,-1.0
Morden,1446.0,1447,-1.0
Mill Hill East,680.0,681,-1.0
Maryland,349.0,350,-1.0
Loughton,654.0,655,-1.0
Lewisham,2399.0,2400,-1.0
Sudbury Town,217.0,218,-1.0
Sydenham,514.0,515,-1.0
King George V,799.0,800,-1.0
Kilburn High Road,265.0,266,-1.0
Kensal Rise,1375.0,1376,-1.0
Great Portland Street,6935.0,6936,-1.0
Ilford,1664.0,1665,-1.0
Hounslow West,400.0,401,-1.0
Hounslow Central,707.0,708,-1.0
South Acton,974.0,975,-1.0
Headstone Lane,309.0,310,-1.0
Theobalds Grove,181.0,182,-1.0
Haggerston,1183.0,1184,-1.0
Hainault,355.0,356,-1.0
Turkey Street,457.0,458,-1.0
High Barnet,952.0,953,-1.0
Hornchurch,450.0,451,-1.0
Totteridge & Whetstone,286.0,287,-1.0
Victoria,33251.0,33251,0.0
Walthamstow Queens Road,1267.0,1267,0.0
South Hampstead,236.0,236,0.0
Stratford International,1546.0,1546,0.0
Sudbury Hill,277.0,277,0.0
Watford Junction,1367.0,1367,0.0
White Hart Lane,641.0,641,0.0
South Tottenham,552.0,552,0.0
Stamford Hill,352.0,352,0.0
South Wimbledon,1361.0,1361,0.0
Wanstead Park,416.0,416,0.0
Theydon Bois,98.0,98,0.0
West Ruislip,194.0,194,0.0
Wanstead,419.0,419,0.0
West Silvertown,893.0,893,0.0
Kingsbury,1018.0,1018,0.0
Hackney Downs,834.0,834,0.0
Croxley,340.0,340,0.0
London Fields,790.0,790,0.0
Crystal Palace,499.0,499,0.0
Cyprus,850.0,850,0.0
Leyton Midland Road,445.0,445,0.0
Dagenham East,649.0,649,0.0
Dalston Kingsland,2091.0,2091,0.0
Woodside Park,745.0,745,0.0
Mudchute,302.0,302,0.0
Debden,865.0,865,0.0
Holborn,22346.0,22346,0.0
Emerson Park,42.0,42,0.0
Forest Gate,816.0,816,0.0
Hatch End,93.0,93,0.0
Gallions Reach,557.0,557,0.0
Gants Hill,601.0,601,0.0
Gidea Park,299.0,299,0.0
Harringay Green Lanes,544.0,544,0.0
Earl's Court,6613.0,6613,0.0
Chigwell,148.0,148,0.0
Chorleywood,702.0,702,0.0
Newbury Park,559.0,559,0.0
Shenfield,933.0,933,0.0
Amersham,256.0,256,0.0
Shadwell,7446.0,7446,0.0
Arnos Grove,748.0,748,0.0
Ruislip Gardens,167.0,167,0.0
Becontree,456.0,456,0.0
Romford,2194.0,2194,0.0
Cheshunt,116.0,116,0.0
Brentwood,742.0,742,0.0
Greenwich,1189.0,1189,0.0
Queens Road Peckham,747.0,747,0.0
Buckhurst Hill,228.0,228,0.0
Camden Road,3784.0,3784,0.0
Pimlico,5585.0,5585,0.0
Chalfont & Latimer,554.0,554,0.0
Chesham,243.0,243,0.0
Brockley,468.0,468,0.0
Devons Road,612.0,611,1.0
Bow Church,926.0,925,1.0
Wapping,1067.0,1066,1.0
Cambridge Heath,459.0,458,1.0
Bank and Monument,78550.0,78549,1.0
Goodmayes,684.0,683,1.0
Vauxhall,16243.0,16242,1.0
Watford High Street,791.0,790,1.0
Shepherd's Bush,9891.0,9890,1.0
Upminster,1133.0,1132,1.0
Royal Albert,685.0,684,1.0
Rotherhithe,322.0,321,1.0
Rickmansworth,938.0,937,1.0
Prince Regent,755.0,754,1.0
St. James's Park,13340.0,13339,1.0
Norwood Junction,407.0,406,1.0
New Cross Gate,1341.0,1340,1.0
Stratford High Street,789.0,788,1.0
Snaresbrook,513.0,512,1.0
Langdon Park,1990.0,1989,1.0
Surrey Quays,1006.0,1005,1.0
Homerton,1999.0,1998,1.0
Holland Park,2064.0,2063,1.0
Abbey Road,346.0,345,1.0
Harold Wood,531.0,530,1.0
Highbury & Islington,25386.0,25385,1.0
Harrow-on-the-Hill,3020.0,3019,1.0
Tower Hill,8287.0,8286,1.0
Heathrow Terminals 2 & 3,2407.0,2406,1.0
Tower Gateway,3343.0,3342,1.0
Paddington,20195.0,20193,2.0
All Saints,446.0,444,2.0
Grange Hill,78.0,76,2.0
Preston Road,413.0,411,2.0
Carpenders Park,342.0,340,2.0
Custom House,847.0,845,2.0
Mansion House,7817.0,7815,2.0
Island Gardens,693.0,691,2.0
Cutty Sark,1750.0,1748,2.0
Moorgate,24576.0,24574,2.0
King's Cross St. Pancras,33332.0,33330,2.0
West India Quay,403.0,400,3.0
Royal Victoria,766.0,763,3.0
Blackwall,668.0,665,3.0
Hammersmith,18253.0,18250,3.0
Rectory Road,222.0,219,3.0
Waterloo,23411.0,23408,3.0
Star Lane,1055.0,1052,3.0
London Bridge,29930.0,29926,4.0
Russell Square,5176.0,5172,4.0
South Kensington,15329.0,15325,4.0
Elephant & Castle,6431.0,6427,4.0
Embankment,10224.0,10220,4.0
East India,1526.0,1522,4.0
High Street Kensington,5432.0,5427,5.0
Goodge Street,6465.0,6457,8.0
Westminster,15475.0,15466,9.0
