station_destination,prodsimest4_sum,flow_sum,change_ratio
Ruislip Gardens,77.0,167,-90.0
Amersham,167.0,256,-89.0
Hackney Wick,1174.0,1263,-89.0
Woodgrange Park,160.0,242,-82.0
Highams Park,308.0,390,-82.0
Theobalds Grove,101.0,182,-81.0
Queensbury,360.0,439,-79.0
New Cross Gate,1262.0,1340,-78.0
East Ham,1986.0,2062,-76.0
Clapton,354.0,427,-73.0
East Acton,1433.0,1505,-72.0
West Acton,420.0,488,-68.0
Brentwood,675.0,742,-67.0
Brent Cross,385.0,450,-65.0
Bow Church,864.0,925,-61.0
Croxley,279.0,340,-61.0
Leytonstone High Road,255.0,314,-59.0
Becontree,401.0,456,-55.0
Gants Hill,547.0,601,-54.0
Edmonton Green,729.0,783,-54.0
Cheshunt,63.0,116,-53.0
Prince Regent,704.0,754,-50.0
South Kenton,217.0,261,-44.0
Hillingdon,276.0,318,-42.0
Crossharbour,1167.0,1208,-41.0
Stamford Hill,312.0,352,-40.0
Shenfield,896.0,933,-37.0
Chalfont & Latimer,520.0,554,-34.0
North Wembley,332.0,365,-33.0
Woodford,673.0,706,-33.0
North Ealing,300.0,332,-32.0
Acton Town,2172.0,2202,-30.0
Hatch End,70.0,93,-23.0
Tooting Bec,1216.0,1239,-23.0
West Silvertown,871.0,893,-22.0
Barkingside,241.0,262,-21.0
South Harrow,367.0,387,-20.0
South Ealing,651.0,670,-19.0
Green Park,26737.0,26754,-17.0
Theydon Bois,81.0,98,-17.0
West Finchley,75.0,91,-16.0
Bush Hill Park,161.0,176,-15.0
Sudbury Town,207.0,218,-11.0
Fairlop,171.0,182,-11.0
Wood Street,397.0,404,-7.0
Chigwell,142.0,148,-6.0
Island Gardens,686.0,691,-5.0
Ickenham,279.0,282,-3.0
Anerley,170.0,173,-3.0
Stoke Newington,476.0,479,-3.0
Upney,483.0,485,-2.0
Buckhurst Hill,227.0,228,-1.0
Emerson Park,41.0,42,-1.0
Custom House,845.0,845,0.0
Elverson Road,227.0,226,1.0
Bruce Grove,351.0,350,1.0
Forest Hill,610.0,608,2.0
Moor Park,553.0,550,3.0
Beckton Park,94.0,88,6.0
Roding Valley,92.0,84,8.0
Northwick Park,1725.0,1713,12.0
Sydenham,529.0,515,14.0
Grange Hill,90.0,76,14.0
Rectory Road,235.0,219,16.0
St James Street,202.0,184,18.0
Sudbury Hill,296.0,277,19.0
Wapping,1086.0,1066,20.0
Northwood Hills,509.0,488,21.0
Star Lane,1076.0,1052,24.0
Ruislip Manor,441.0,408,33.0
Highgate,891.0,856,35.0
Wood Lane,1613.0,1578,35.0
Ruislip,297.0,257,40.0
Archway,2233.0,2193,40.0
South Woodford,810.0,766,44.0
Pinner,341.0,292,49.0
East India,1571.0,1522,49.0
Penge West,201.0,150,51.0
Royal Victoria,814.0,763,51.0
Westferry,1301.0,1250,51.0
White Hart Lane,702.0,641,61.0
Eastcote,425.0,364,61.0
Kew Gardens,854.0,792,62.0
Honor Oak Park,404.0,341,63.0
Pudding Mill Lane,494.0,431,63.0
Redbridge,262.0,198,64.0
Abbey Road,411.0,345,66.0
Stonebridge Park,796.0,729,67.0
Chiswick Park,1585.0,1517,68.0
Devons Road,681.0,611,70.0
North Harrow,264.0,190,74.0
Mudchute,381.0,302,79.0
Brockley,549.0,468,81.0
West Harrow,203.0,122,81.0
Ealing Common,1004.0,915,89.0
Poplar,1392.0,1301,91.0
Harlesden,1759.0,1668,91.0
Parsons Green,2802.0,2711,91.0
Blackhorse Road,3052.0,2955,97.0
Seven Sisters,10289.0,10191,98.0
Kilburn Park,925.0,823,102.0
Canonbury,949.0,846,103.0
Turnpike Lane,1101.0,992,109.0
Finsbury Park,6880.0,6769,111.0
Wanstead,535.0,419,116.0
Rotherhithe,438.0,321,117.0
Belsize Park,2381.0,2255,126.0
Rayners Lane,554.0,426,128.0
Snaresbrook,643.0,512,131.0
Neasden,866.0,732,134.0
All Saints,578.0,444,134.0
Surrey Quays,1140.0,1005,135.0
Blackwall,813.0,665,148.0
Goldhawk Road,520.0,370,150.0
Preston Road,563.0,411,152.0
Leytonstone,1999.0,1844,155.0
Maryland,509.0,350,159.0
Dollis Hill,1006.0,847,159.0
West India Quay,563.0,400,163.0
Kensal Green,644.0,472,172.0
Fulham Broadway,4375.0,4200,175.0
Shepherd's Bush Market,596.0,416,180.0
Kilburn,2139.0,1953,186.0
