station_destination,SIM_est_2beta_sum,flow_sum,change_ratio
Tooting Bec,1211.0,1239,-28.0
Wembley Park,5732.0,5759,-27.0
Blackhorse Road,2929.0,2955,-26.0
Upton Park,1620.0,1642,-22.0
Wembley Central,1305.0,1327,-22.0
Dollis Hill,827.0,847,-20.0
Southgate,854.0,874,-20.0
Acton Town,2182.0,2202,-20.0
Colindale,2061.0,2081,-20.0
Barking,6985.0,7004,-19.0
Bounds Green,759.0,778,-19.0
Willesden Green,811.0,830,-19.0
Morden,1428.0,1447,-19.0
Arnos Grove,729.0,748,-19.0
Kew Gardens,774.0,792,-18.0
Turnpike Lane,974.0,992,-18.0
East Ham,2044.0,2062,-18.0
Colliers Wood,848.0,865,-17.0
Goldhawk Road,353.0,370,-17.0
Walthamstow Central,5254.0,5271,-17.0
Tooting Broadway,4489.0,4506,-17.0
Arsenal,298.0,315,-17.0
Brent Cross,434.0,450,-16.0
Stepney Green,1863.0,1879,-16.0
Hendon Central,1862.0,1878,-16.0
East Finchley,1238.0,1253,-15.0
South Wimbledon,1347.0,1361,-14.0
Southfields,1337.0,1351,-14.0
Stamford Brook,770.0,784,-14.0
Bromley-by-Bow,1599.0,1613,-14.0
Bow Road,1180.0,1193,-13.0
Wimbledon Park,583.0,596,-13.0
High Barnet,940.0,953,-13.0
Finchley Central,1908.0,1921,-13.0
Ealing Common,902.0,915,-13.0
Leyton,1434.0,1447,-13.0
Hanger Lane,1480.0,1493,-13.0
Northfields,851.0,864,-13.0
Leytonstone,1832.0,1844,-12.0
South Ealing,658.0,670,-12.0
Woodside Park,733.0,745,-12.0
Park Royal,1540.0,1552,-12.0
Tufnell Park,545.0,557,-12.0
Perivale,520.0,532,-12.0
Plaistow,1038.0,1049,-11.0
Harrow & Wealdstone,1324.0,1335,-11.0
Greenford,1146.0,1157,-11.0
Edgware,761.0,772,-11.0
Archway,2183.0,2193,-10.0
Harlesden,1658.0,1668,-10.0
Mill Hill East,671.0,681,-10.0
Clapham South,1503.0,1513,-10.0
Hounslow East,833.0,843,-10.0
Shepherd's Bush Market,406.0,416,-10.0
King's Cross St. Pancras,33320.0,33330,-10.0
