"BehaviorSpace results (NetLogo 6.3.0)"
"Sugarscape 2 Constant Growback.nlogo"
"experiment"
"09/04/2023 22:22:31:802 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","visualization","initial-population","[step]","count turtles","mean [sugar] of turtles"
"6","no-visualization","600","13","422","20.327014218009477"
"4","no-visualization","400","22","259","32.447876447876446"
"1","no-visualization","100","34","71","57.67605633802817"
"5","no-visualization","500","20","306","29.218954248366014"
"8","no-visualization","800","6","682","14.620234604105573"
"1","no-visualization","100","35","71","59.028169014084504"
"3","no-visualization","300","23","191","37.16230366492147"
"5","no-visualization","500","21","297","30.949494949494948"
"6","no-visualization","600","14","413","21.10169491525424"
"4","no-visualization","400","23","257","33.5875486381323"
"2","no-visualization","200","6","178","17.06179775280899"
"1","no-visualization","100","36","71","60.42253521126761"
"5","no-visualization","500","22","295","32.03389830508475"
"8","no-visualization","800","7","642","15.17601246105919"
"3","no-visualization","300","24","190","38.31578947368421"
"7","no-visualization","700","5","642","14.580996884735203"
"1","no-visualization","100","37","71","61.80281690140845"
"5","no-visualization","500","23","289","33.59861591695502"
"6","no-visualization","600","15","403","22.027295285359802"
"1","no-visualization","100","38","71","63.183098591549296"
"4","no-visualization","400","24","255","34.72549019607843"
"3","no-visualization","300","25","187","39.9144385026738"
"1","no-visualization","100","39","71","64.56338028169014"
"5","no-visualization","500","24","286","34.85314685314685"
"6","no-visualization","600","16","392","23.14030612244898"
"8","no-visualization","800","8","617","15.575364667747163"
"7","no-visualization","700","6","610","15.01311475409836"
"4","no-visualization","400","25","255","35.60392156862745"
"1","no-visualization","100","40","71","65.97183098591549"
"5","no-visualization","500","25","282","36.304964539007095"
"1","no-visualization","100","41","71","67.30985915492958"
"3","no-visualization","300","26","187","41"
"6","no-visualization","600","17","384","24.171875"
"5","no-visualization","500","26","281","37.40213523131673"
"2","no-visualization","200","7","172","18.08139534883721"
"1","no-visualization","100","42","71","68.70422535211267"
"3","no-visualization","300","27","186","42.31720430107527"
"7","no-visualization","700","7","589","15.32597623089983"
"8","no-visualization","800","9","603","15.809286898839138"
"3","no-visualization","300","28","186","43.39784946236559"
"5","no-visualization","500","27","280","38.52142857142857"
"6","no-visualization","600","18","371","25.63342318059299"
"1","no-visualization","100","43","71","70.05633802816901"
"5","no-visualization","500","28","279","39.64874551971326"
"3","no-visualization","300","29","186","44.483870967741936"
"7","no-visualization","700","8","564","15.851063829787234"
"8","no-visualization","800","10","576","16.51215277777778"
"6","no-visualization","600","19","361","27.049861495844876"
"1","no-visualization","100","44","71","71.4225352112676"
"3","no-visualization","300","30","186","45.61290322580645"
"5","no-visualization","500","29","279","40.598566308243726"
"1","no-visualization","100","45","71","72.77464788732394"
"3","no-visualization","300","31","185","46.945945945945944"
"4","no-visualization","400","26","253","36.8102766798419"
"7","no-visualization","700","9","534","16.689138576779026"
"5","no-visualization","500","30","278","41.776978417266186"
"6","no-visualization","600","20","358","28.039106145251395"
"1","no-visualization","100","46","71","74.16901408450704"
"8","no-visualization","800","11","549","17.3551912568306"
"3","no-visualization","300","32","183","48.557377049180324"
"1","no-visualization","100","47","71","75.56338028169014"
"5","no-visualization","500","31","277","42.92418772563177"
"4","no-visualization","400","27","253","37.73913043478261"
"6","no-visualization","600","21","357","28.899159663865547"
"1","no-visualization","100","48","71","76.91549295774648"
"3","no-visualization","300","33","183","49.67213114754098"
"7","no-visualization","700","10","512","17.455078125"
"8","no-visualization","800","12","527","18.18216318785579"
"1","no-visualization","100","49","71","78.26760563380282"
"4","no-visualization","400","28","250","39.132"
"5","no-visualization","500","32","277","43.90974729241877"
"6","no-visualization","600","22","356","29.8061797752809"
"1","no-visualization","100","50","71","79.6056338028169"
"2","no-visualization","200","8","168","18.982142857142858"
"3","no-visualization","300","34","183","50.85245901639344"
"7","no-visualization","700","11","496","18.16532258064516"
"4","no-visualization","400","29","250","40.056"
"5","no-visualization","500","33","274","45.386861313868614"
"1","no-visualization","100","51","71","80.97183098591549"
"6","no-visualization","600","23","351","31.076923076923077"
"1","no-visualization","100","52","71","82.29577464788733"
"8","no-visualization","800","13","505","19.198019801980198"
"1","no-visualization","100","53","71","83.69014084507042"
"5","no-visualization","500","34","274","46.386861313868614"
"3","no-visualization","300","35","183","52.021857923497265"
"6","no-visualization","600","24","347","32.279538904899134"
"7","no-visualization","700","12","483","18.853002070393376"
"1","no-visualization","100","54","71","85.05633802816901"
"4","no-visualization","400","30","249","41.14859437751004"
"1","no-visualization","100","55","71","86.46478873239437"
"3","no-visualization","300","36","182","53.41208791208791"
"3","no-visualization","300","37","179","55.46927374301676"
"6","no-visualization","600","25","343","33.51020408163265"
"1","no-visualization","100","56","71","87.87323943661971"
"4","no-visualization","400","31","249","42.12048192771084"
"5","no-visualization","500","35","274","47.41240875912409"
