,Model,R2,RMSE,Alpha,Gamma,Beta
0,uncosim_pow,0.24644274932688884,114.26,0.616201801300181,0.6508973491314295,-0.8159048713424791
1,prodsim_pow,0.3882685519542343,102.893,,0.7686150288889761,-0.8781192151499964
2,attrsim_pow,0.34994209747482174,106.012,0.7451181869376547,,-0.6351483966832516
3,doublesim_pow,0.4076973351242128,101.334,,,-0.9096322755823611
4,uncosim_exp,0.17342956271028234,120.845,0.24524289034507138,0.34404981815827185,-0.00013503726158978351
5,prodsim_exp,0.46806531999334816,96.263,,0.7552207420261771,-0.00015316636566627855
6,attrsim_exp,0.399959493710939,102.168,0.7145546404726253,,-9.963304727010576e-05
7,doublesim_exp,0.49788977629937664,93.397,,,-0.00015436988450437175
